year,month,tmax(degC),tmin(degC),af(days),rain(mm),sun(hours),station,latitude,longitude
2004,5,13.9,8.1,0.0,36.2,164.5,aberporth,52.139,4.57
2004,6,17.6,11.5,0.0,25.8,210.3,aberporth,52.139,4.57
2004,7,17.0,11.7,0.0,46.9,165.4,aberporth,52.139,4.57
2004,8,19.1,13.6,0.0,160.0,144.3,aberporth,52.139,4.57
2004,9,16.9,12.0,0.0,81.8,132.3,aberporth,52.139,4.57
2004,10,12.9,8.2,0.0,168.8,104.5,aberporth,52.139,4.57
2004,11,10.5,7.5,0.0,56.2,43.6,aberporth,52.139,4.57
2004,12,9.1,4.8,1.0,89.6,49.3,aberporth,52.139,4.57
2005,1,8.8,5.0,0.0,53.4,53.4,aberporth,52.139,4.57
2005,2,6.8,2.7,2.0,44.8,74.3,aberporth,52.139,4.57
2005,3,10.0,5.4,2.0,25.6,88.5,aberporth,52.139,4.57
2005,4,11.7,5.7,0.0,83.2,158.5,aberporth,52.139,4.57
2005,5,13.6,7.6,0.0,30.2,225.1,aberporth,52.139,4.57
2005,6,17.2,11.6,0.0,29.6,185.3,aberporth,52.139,4.57
2005,7,18.4,12.8,0.0,77.8,175.4,aberporth,52.139,4.57
2005,8,18.2,12.3,0.0,40.2,225.7,aberporth,52.139,4.57
2005,9,17.4,11.7,0.0,58.2,147.3,aberporth,52.139,4.57
2005,10,14.6,10.6,0.0,194.4,81.2,aberporth,52.139,4.57
2005,11,10.3,4.8,1.0,128.2,81.9,aberporth,52.139,4.57
2005,12,8.3,4.0,5.0,57.2,48.2,aberporth,52.139,4.57
2006,1,7.0,2.8,6.0,30.2,92.5,aberporth,52.139,4.57
2006,2,6.5,2.2,6.0,50.8,74.6,aberporth,52.139,4.57
2006,3,7.9,2.9,5.0,79.6,106.0,aberporth,52.139,4.57
2006,4,10.5,5.8,0.0,39.2,185.4,aberporth,52.139,4.57
2006,5,13.9,8.1,0.0,118.6,159.5,aberporth,52.139,4.57
2006,6,18.0,11.3,0.0,19.0,254.4,aberporth,52.139,4.57
2006,7,21.2,13.7,0.0,32.8,236.6,aberporth,52.139,4.57
2006,8,17.1,12.9,0.0,68.0,123.5,aberporth,52.139,4.57
2006,9,18.7,13.0,0.0,53.6,160.9,aberporth,52.139,4.57
2006,10,15.1,10.6,0.0,81.8,108.5,aberporth,52.139,4.57
2006,11,11.3,6.1,0.0,132.2,94.2,aberporth,52.139,4.57
2006,12,9.3,5.3,3.0,153.8,44.2,aberporth,52.139,4.57
